Nama,Deskripsi,Kategori,Restoran,Harga,Rating,Foto
Gudeg,"Nangka muda dimasak dengan santan, khas Yogyakarta",Makanan Berat,Gudeg Yu Djum Indah,30000,4.6,https://img.inews.co.id/media/620/files/inews_new/2023/03/04/Asal_usul_gudeg.jpg
Oseng Mercon,Oseng daging sapi pedas luar biasa,Makanan Pedas,Oseng Mercon Bu Narti Indah,22000,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRgW8HozxSd_cRjrB-vxJ69Bb3DX94BiqU-Q&s
Sop Merah,Sop dengan kuah cabai merah,Makanan Pedas,Warung Sop Merah Bu Asih Raya,22000,4.2,https://media.guideku.com/thumbs/2018/08/06/52137-sop-merah-bu-asih-di-yogyakarta-instagramatstreetfoodstories/745x489-img-52137-sop-merah-bu-asih-di-yogyakarta-instagramatstreetfoodstories.jpg
Jadah Tempe,Jadah ketan dengan tempe bacem,Makanan Tradisional,Jadah Tempe Mbah Carik Sejahtera,10000,4.3,https://minyakgorengsunco.com/wp-content/uploads/2021/08/Jadah-Tempe.jpg
Nasi Tiwul,Nasi dari tepung gaplek khas Gunung Kidul,Makanan Berat,Warung Nasi Tiwul Makmur,17000,4.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-H4ijrZ4TzJPmkpD0apVyWQCt_nnt3H9q2Q&s
Oseng Mercon,Oseng daging sapi pedas luar biasa,Makanan Pedas,Oseng Mercon Bu Narti Berkah,21000,4.3,https://img.inews.co.id/media/822/files/inews_new/2021/07/22/IMG_22072021_105124__822_x_430_piksel_.jpg
Yangko,Kue kenyal berbentuk kotak dari tepung ketan,Oleh-oleh,Toko Oleh-oleh Khas Jogja Raya,10000,4.2,https://awsimages.detik.net.id/community/media/visual/2023/07/15/yangko-asal-kotagede-jogja_169.png?w=1200
Oseng Mercon,Oseng daging sapi pedas luar biasa,Makanan Pedas,Oseng Mercon Bu Narti ,21000,4.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAY3S_Xm8AUe3-5wU_rZKgY0kXeQIHK0V0dg&s
Krecek,Kulit sapi dimasak dengan sambal,Pendamping Gudeg,Pasar Beringharjo Makmur,10000,4.1,https://nnc-media.netralnews.com/IMG-Netral-News-User-31-WAXD4IPEJ9.jpg
Enthok Slenget,Enthok dimasak pedas dengan rempah,Makanan Pedas,Warung Enthok Kang Tanir Makmur,28000,4.2,https://img-global.cpcdn.com/recipes/98aa7991f5a238fb/680x482cq70/rica-enthok-enthok-slenget-nampol-pedesnya-foto-resep-utama.jpg
Sate Kere,Sate murah dengan cita rasa khas,Makanan Jalanan,Pasar Beringharjo,25000,4.7,https://surakarta.go.id/wp-content/uploads/2022/12/Screenshot_75.jpg
Nasi Tiwul,Nasi dari tepung gaplek khas Gunung Kidul,Makanan Berat,Warung Nasi Tiwul Bahagia,16000,4,https://cdn0-production-images-kly.akamaized.net/h_4e3KV4EYWAgJCC6qzNX9YNAjo=/469x260/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2752727/original/032819800_1552704352-shutterstock_1258926904.jpg
Enthok Slenget,Enthok dimasak pedas dengan rempah,Makanan Pedas,Warung Enthok Kang Tanir Berkah,40000,4.6,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/1035/2023/11/07/Entok-Slenget-53087730.jpg
Sate Kere,Sate murah dengan cita rasa khas,Makanan Jalanan,Pasar Beringharjo Utama,23000,4.5,https://asset-2.tstatic.net/travel/foto/bank/images/sate-kere-bu-dibyo.jpg
Enthok Slenget,Enthok dimasak pedas dengan rempah,Makanan Pedas,Warung Enthok Kang Tanir Bahagia,45000,4.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUyYrq97Ecq8Umgx0AJ6tWvD53CYNY9-D4tQ&s
Martabak Okonomiyaki,Martabak telur asal Jepang,Makanan Japanese,"Martabak Okonomiyaki BAMLY, Sonopakis",20000,4.5,https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/00eb9a7e-f2dc-4441-a9bb-a4a0db10926b_Go-Biz_20230115_224131.jpeg?w=250
Peyek Tumpuk,Peyek kacang yang ditumpuk,Oleh-oleh,Peyek Mbok Tum Utama,95000,4.3,https://jogjakita.co.id/wp-content/uploads/2021/06/peyek-tumpuk-mbok-tumpuk.png
Soto Pak Zaenal Barokah,Berbagai macama soto dengan rasa yang ciri khas,Makanan Berat,"Soto Pak Zaenal Barokah, Warungboto Umbulharjo",15000,4.5,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/fb4fd5df-d660-4795-8398-573e6068f67c_Go-Biz_20220108_120841.jpeg
Bakpia Pathok Coklat,Kue isi kacang hijau khas Jogja,Oleh-oleh,Bakpia Pathok 25 Raya,26000,4.3,https://oleh-olehjogja.com/wp-content/uploads/2022/04/Bakpia-25-Pathok-Jogja.jpg
Mangut Lele,Lele asap dimasak santan,Makanan Tradisional,Rumah Makan Mangut Lele Bu Is,25000,4.4,https://ik.trn.asia/uploads/2022/02/1644200810946.jpeg
Bakmi Chinese,Bakmi dengan ciri khas dari Chinese,Makanan Berat,"Bakmi Nikmat Rasa, Soragan",40000,4.6,https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/3320f3bf-8e20-49ba-8b2a-7b969da3a53c_restaurant-image_1641434031110.jpg
Lotek Gado Gado,Gado-gado dengan bumbu buatan sendiri Bu Ning,Makanan Berat,"Lotek Gado-Gado Bu Ning, Tamansiswa",26000,4.7,https://th.bing.com/th/id/R.43011c6fec07a9b5f3b36257e6fbd607?rik=mqwa2V%2fGteq1KA&riu=http%3a%2f%2ftravel.biz.id%2fwp-content%2fuploads%2f2021%2f04%2fLotek-dan-Gado-Gado-Bu-Ning-Kuliner-533x400.png&ehk=AcktVMfDii98N17l9n%2faJKYisv9jxjrrxD0JW5QRCPM%3d&risl=&pid=ImgRaw&r=0
Sego Abang Jirak,Nasi merah dengan lauk pauk tradisional,Makanan Berat,Warung Sego Abang Utama,49000,4.6,https://media-cdn.tripadvisor.com/media/photo-s/15/c0/67/b7/screenshot-20181217-125943.jpg
Ayam Geprek DBC,"Ayam Geprek dengan berbagai macam level kepedasan, yaitu Pedas, Extra Pedas, dan Super Pedas.",Makanan Berat,"Ayam Geprek DBC, Beskalan",18000,4.7,https://ayamgeprekdbc.files.wordpress.com/2022/10/shr06162e.jpg?w=800
Kue Apem,Kue bebentuk bulat pipih dan memiliki cita rasa manis dan gurih.,Jajanan,Apem Beras Bu Wanti,3000,4.9,https://www.google.com/url?sa=i&url=https%3A%2F%2Ftribunjogjawiki.tribunnews.com%2F2021%2F04%2F01%2Fmenikmati-kelezatan-apem-beras-bu-wanti-yang-melegenda%3Fpage%3Dall&psig=AOvVaw2zFTANFZCwIzIPDhdAz2rb&ust=1728539344904000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNisnP3MgIkDFQAAAAAdAAAAABAE
Sate Klatak Pak Pong,Sate kambing dengan bumbu yang ciri khas,Makanan Berat,Sate Klatak Pak Pong Pusat,21000,4.3,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.magnetoholidays.id%2Fkuliner-sate-klathak-pak-pong-harga-menu-dan-jam-buka%2F&psig=AOvVaw0KjkSyW8YpnqBKpGxsg6xp&ust=1728539899197000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOjDq4bPgIkDFQAAAAAdAAAAABAJ
Es Cream Gelato,Es Cream dengan berbagai rasa ,Makanan Ringan,Letsgo Gelato ,25000,4.5,https://o-cdn-cas.oramiland.com/parenting/images/lets_go_gelato.width-800.format-webp.webp
Gado-Gado,Kesegaran sayur-mayur yang bercampur dengan gurihnya bumbu kacang yang lembut menciptakan kelezatan rasa membuat banyak orang ketagihan.,Makanan Berat,Gado - Gado Bu Hadi,22000,4.6,https://asset-2.tstatic.net/tribunnews/foto/bank/images/gado-gado_20150901_131819.jpg
Nasi kuning," Nasi beraroma khas yang dimasak dengan kunyit dan santan, sering disajikan dengan lauk pendamping.",Makanan Berat,Nasi Kuning Muna Cung,25000,4.7,https://lh3.googleusercontent.com/p/AF1QipP0IzOHxiQ3gi3UIKRWUlN3E0DdKp0TB3YLGosl=s680-w680-h510
Soto Lamongan,Soto paling gurih lantaran memiliki ciri khas taburan koya udang yang tidak dimiliki oleh soto lainnya,Makanan Berat,"Soto Daging Lamongan Cak Ngun, Jl. Veteran No 212 Umbulharjo",25000,4.7,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/47ee883e-4a53-45a2-ad9e-ea326d880904_Go-Biz_20221110_104812.jpeg
Steak,"Daging di Steak Holycow! dikenal empuk, juicy, dan dimasak dengan tingkat kematangan yang presisi, sehingga menghasilkan cita rasa yang kaya dan beraroma menggugah selera.",Makanan Berat,Holycow! STEAKHOUSE By Chef Afit,92000,4.7,https://lh3.googleusercontent.com/p/AF1QipM4WSqq6WjYFpzHqNI-kcreBjvRKil6SAXnnN4A=s680-w680-h510
Lontong Sayur,Hidangan khas Indonesia yang terdiri dari lontong dengan kuah santan dan sayuran,Makanan Berat,Lontong Sayur 115 Mbak Tina,9000,5,https://lh3.googleusercontent.com/p/AF1QipN4MfcLFUOjdUlyfjIrjlAQ8o6k41D2ToE_LxDp=s680-w680-h510
Bakpia Pathok Strawberry,Kue isi kacang hijau khas Jogja,Oleh-oleh,Bakpia 25 Bandara Jaya ,45000,4.4,https://3.bp.blogspot.com/-IPsvQontyA0/UmCZUCTb3hI/AAAAAAAAACg/YV4yuNkRQEM/s1600/171020131970.jpg
Bakpia Pathok Pandan,Kue isi kacang hijau khas Jogja,Oleh-oleh,Bakpia Pathok 25 Pathok Jaya,45000,4.6,https://img-global.cpcdn.com/recipes/7b44dbbfae811364/1200x630cq70/photo.jpg
Yangko,Kue kenyal berbentuk kotak dari tepung ketan,Oleh-oleh,Toko Oleh-oleh Khas Jogja Sejahtera,15000,4.2,https://tse1.mm.bing.net/th?id=OIP.LkeZYEGh6odiDvUUL7vYewHaE7&pid=Api&P=0&h=220
Mangut Lele,Lele asap dimasak santan,Makanan Tradisional,Mangut Lele Mbah Marto,25000,4.5,https://i2.wp.com/resepkoki.id/wp-content/uploads/2017/01/Resep-Mangut-Lele.jpg?fit=1742%2C2208&ssl=1
Nasi Tiwul,Nasi dari tepung gaplek khas Gunung Kidul,Makanan Berat,Tiwul Ayu Mbok Sum,18000,5,https://s3.theasianparent.com/tap-assets-prod/wp-content/uploads/sites/24/2021/10/nasi-tiwul-feat-650x339.jpg
Sate Kere,Sate murah dengan cita rasa khas,Makanan Jalanan,Pasar Beringharjo Raya,20000,4.8,https://cdn.tasteatlas.com/images/dishes/6c3bb1a4300c41dc92c2d51a97471308.jpg?mw=1300
Oseng Mercon,Oseng daging sapi pedas luar biasa,Makanan Pedas,Oseng Mercon Bu Narti,53000,4.4,https://images.search.yahoo.com/images/view;_ylt=Awr93CVvXgZn72MU7S6JzbkF;_ylu=c2VjA3NyBHNsawNpbWcEb2lkAzQyZTZlNGYxZTgxOGVjY2U0ZTgyZjA1OTI1NGZhY2U2BGdwb3MDMQRpdANiaW5n?back=https%3A%2F%2Fimages.search.yahoo.com%2Fsearch%2Fimages%3Fp%3Doseng%2Bmercon%26type%3DE210US885G0%26fr%3Dmcafee%26fr2%3Dpiv-web%26tab%3Dorganic%26ri%3D1&w=617&h=411&imgurl=www.dapurkobe.co.id%2Fwp-content%2Fuploads%2Foseng-oseng-mercon.jpg&rurl=http%3A%2F%2Fwww.dapurkobe.co.id%2Foseng-oseng-mercon&size=63KB&p=oseng+mercon&oid=42e6e4f1e818ecce4e82f059254face6&fr2=piv-web&fr=mcafee&tt=Oseng-Oseng+Mercon+%7C+Resep+dari+Dapur+KOBE&b=0&ni=21&no=1&ts=&tab=organic&sigr=69cKZVubVG1Z&sigb=1jBwLVjQIr2F&sigi=1hW5okOt5v7w&sigt=_KwB02YjX2EO&.crumb=UZYAplT7VVb&fr=mcafee&fr2=piv-web&type=E210US885G0
Gudeg,"Nangka muda dimasak dengan santan, khas Yogyakarta",Makanan Berat,Gudeg Yu Djum,20000,4.4,https://cdn-1.timesmedia.co.id/images/2022/12/21/gudeg-2.jpg
Bakpia Pathok Coklat Keju,Kue isi kacang hijau khas Jogja,Oleh-oleh,Bakpia Pathok 25  Kembang Jaya,48000,4.6,https://cf.shopee.co.id/file/9e511e9358bd17d7647064c067654d43
Oseng Mercon,Oseng daging sapi pedas luar biasa,Makanan Pedas,Oseng Mercon Tugu Jogja,60000,4.9,https://curupekspress.disway.id/upload/46dcb9dd1b85ae42e7c7c9b1275b0b12.jpg
Bakmi Jawa,Bakmi dengan kuah dan bumbu khas Jawa,Makanan Berat,Bakmi Jawa Mbah Mo,49000,4.5,https://asset.kompas.com/crops/P3vaJiaIW8QtnQBJkEsrWX3EkFM=/74x23:952x609/750x500/data/photo/2021/05/21/60a732315e52e.jpg
Peyek Tumpuk,Peyek kacang yang ditumpuk,Oleh-oleh,Peyek Mbok Tum,42000,4,https://rentalmobiljogja.id/wp-content/uploads/2017/08/peyek-mbok-tumpuk.jpg
Krecek,Kulit sapi dimasak dengan sambal,Pendamping Gudeg,Pasar Beringharjo,34000,4.6,https://cdn-brilio-net.akamaized.net/news/2020/10/02/193049/1323323-1000xauto-resep-olahan-krecek.jpg
Enthok Slenget,Enthok dimasak pedas dengan rempah,Makanan Pedas,Warung Enthok Kang Tanir,91000,4.8,https://cdn.idntimes.com/content-images/community/2020/06/dscf6055-1024x683-896a5ab381ac66638ab61058b7f93a33.jpg
Krecek,Kulit sapi dimasak dengan sambal,Pendamping Gudeg,"Warung Bubur Gudeg Krecek ""Mbah Galak e pol""",15000,4.1,http://2.bp.blogspot.com/-tqBLkER1EnE/UuWkyHM6XVI/AAAAAAAABEM/SgYmhzvaWZo/s1600/Beef+Skin+Crackers+In+Javanese+Sauce+(+Sambal+Goreng+Krecek+).jpg
Bakmi Jawa,Bakmi dengan kuah dan bumbu khas Jawa,Makanan Berat,Bakmi Jowo Mbah Gito,54000,4.2,https://assets.pikiran-rakyat.com/crop/0x0:0x0/x/photo/2022/05/20/2710397937.png
Mangut Lele,Lele asap dimasak santan,Makanan Tradisional,Mangut Lele Sewon Indah,47000,4,https://img-global.cpcdn.com/recipes/f327946361700bbd/680x482cq70/mangut-lele-khas-jogja-foto-resep-utama.jpg
Sayur Lombok Ijo,Sayur tempe pedas khas Jogja,Makanan Pelengkap,Lombok Idjo Jogja Diponegoro,25000,4.4,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.idntimes.com%2Ffood%2Fdiet%2F09-gilang-khuatul-akhmal%2Fresep-sayur-tempe-lombok-ijo-tanpa-santan-c1c2&psig=AOvVaw2LUAyPOi8WfFYVB_0q_bxd&ust=1728528348876000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLjYjqGkgIkDFQAAAAAdAAAAABAE
Sego Abang Jirak,Nasi merah dengan lauk pauk tradisional,Makanan Berat,Warung  Jirak,27000,4.2,https://www.google.com/url?sa=i&url=https%3A%2F%2Fjogja.idntimes.com%2Ffood%2Fdining-guide%2Flanggeng-irma-salugiasih-1%2Folahan-sego-abang-jirak-makanan-khas-gunung-kidul&psig=AOvVaw14N4oPo3jH27QjDpf8DjKD&ust=1728528778217000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIC0kdalgIkDFQAAAAAdAAAAABAQ
Gudeg,"Nangka muda dimasak dengan santan, khas Yogyakarta",Makanan Berat,Gudeg Yu Djum Wijilan 167,30000,4.6,https://lh3.googleusercontent.com/p/AF1QipOlHXob0zVKH17JiokeLSxJCpWaee_PfTeYVBhF=s1360-w1360-h1020
Sate Kere,Sate murah dengan cita rasa khas dipadukan dengan ketupat sayur yang gurih,Makanan Jalanan,Sate Kere Kupat Sayur Mbah Mardi,12000,4.5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwisata.harianjogja.com%2Fread%2F2022%2F01%2F15%2F504%2F1093390%2Flima-sate-kere-di-jogja-yang-gurih-manjakan-lidah&psig=AOvVaw3W5kecLeBGq8enJiLTZFeQ&ust=1728530169561000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKCJiO6qgIkDFQAAAAAdAAAAABAE
Sate Kere,Sate murah dengan cita rasa khas,Makanan Jalanan,Sate Kere Beringharjo,20000,4.8,https://lh3.googleusercontent.com/p/AF1QipNepZWWA6NilwZSm7FM7HUgeUfyOa3l1E0m67Uu=s680-w680-h510
Kipo,Kue kenyal manis khas Kotagede,Jajanan Tradisional,Kipo Bu Djito,5000,4.6,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.briliofood.net%2Ffoodpedia%2Fkue-kipo-jajanan-legendaris-khas-kotagede-jogja-yang-sudah-langka-2210077.html&psig=AOvVaw0DTV3bUV0w3hIrjpsk7EyB&ust=1728530584466000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLip8LOsgIkDFQAAAAAdAAAAABAE
Sayur Lombok Ijo,Sayur tempe pedas khas Jogja,Makanan Pelengkap,"Lombok Ijo Sego Abang ""Pak Wiji""",25000,4.5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fbakpiakukustugu.co.id%2Farticle%2Fdetail%2Fsayur-lombok-ijo-khas-jogja-makanan-ndeso-yang-bikin-kangen-kampung-halaman-294&psig=AOvVaw015iTJp0VDV8y1NIBqYqt2&ust=1728529000196000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNiYnrymgIkDFQAAAAAdAAAAABAK
Entok Slenget,Entok dimasak pedas dengan rempah,Makanan Pedas,Entok Slenget Kang Tanir,20000,4.6,https://cdn.idntimes.com/content-images/community/2022/04/fromandroid-a7f120cc38df2a0fcb625910538e51cd_600x400.jpg
Kipo,Kue kenyal manis khas Kotagede,Jajanan Tradisional,Kipo Bu Muji ꦏꦶꦥꦺꦴꦧꦸꦩꦸꦗꦶ,10000,4.7,https://img.harianjogja.com/posts/2022/02/11/1095103/28-jalanjalan-kuliner-foto-4-ok.JPG
Burger,Burger dengan daging premium,Makanan Berat,"Burgerax, Imogiri Timur",35000,4.3,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/6f6adcb0-9d5b-4082-8cf4-8b238e40e3d0_Go-Biz_20211001_014514.jpeg
Krecek,Kulit sapi dimasak dengan sambal,Pendamping Gudeg,Sego Krecek Giwangan,12000,4.5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.idntimes.com%2Ffood%2Frecipe%2Fdimas-hutama%2Fresep-sambal-goreng-krecek-khas-jogja-c1c2&psig=AOvVaw2zRYRE5I7QuhMCx1IjAMum&ust=1728537603441000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMjJ1tTGgIkDFQAAAAAdAAAAABAK
Nasi Goreng,Nasi goreng ayam makanan khas Cina,Makanan Berat,"Nasi Goreng Gemilang, Gedongkuning",17000,4.9,https://cdn1-production-images-kly.akamaized.net/LDRjBxjUH3gyrzEAUFrCi_XisTs=/0x148:1920x1230/800x450/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3093328/original/069244600_1585909700-fried-2509089_1920.jpg
Sop Ayam Klaten,Sop Ayam gurih khas klaten,Makanan Berat,Sop Ayam Pak Min Klaten,17000,4.5,https://www.google.com/url?sa=i&url=https%3A%2F%2Ftribunjatengtravel.tribunnews.com%2F2020%2F11%2F05%2Fberikut-ini-daftar-alamat-sop-ayam-pak-min-klaten-yang-ada-di-provinsi-diy-yogyakarta&psig=AOvVaw3mzESDTp-Aiii-61yPXsP1&ust=1728539921724000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCICytJLPgIkDFQAAAAAdAAAAABAE
Brongkos,Daging sapi dimasak dengan santan kental,Makanan Berat,Warung Brongkos Handayani,30000,4.5,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.idntimes.com%2Ffood%2Fdining-guide%2Ffatiya-1%2Fwarung-brongkos-paling-terkenal-di-yogyakarta-exp-c1c2&psig=AOvVaw2ow2UAeysTTx3MQ3U8mtjQ&ust=1728538261708000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKCEnP3IgIkDFQAAAAAdAAAAABAE
Bakso,Aneka ragam bakso dan mie ayam,Makanan Berat,"Bakso Urat & Mie Ayam Rizky, Sorogenen",15000,4.4,https://i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/cbb2dc71-92ec-4f40-befc-0d0fbc4091f2_5ac12c36-d863-4d39-901f-d1420c998fc4_Go-Biz_20190124_144203.jpeg
Ayam Kremes,Nasi ayam goreng dengan kremesan,Makanan Berat,Ayam Bakar Kremes Bu Rose,23000,4.7,https://dzglkev4c34xb.cloudfront.net/horego.com/umbulharjo/restaurant/ayam-bakar-kremes-bu-rose-/food/af1qiposdin7dqunwmlzziga6dgcje8gscxsjc0vnngk.jpg
Bakmi Jawa,Bakmi dengan kuah dan bumbu khas Jawa,Makanan Berat,Bakmi Jawa Mbah Mo Indah,20000,4, https://asset.kompas.com/crops/P3vaJiaIW8QtnQBJkEsrWX3EkFM=/74x23:952x609/750x500/data/photo/2021/05/21/60a732315e52e.jpg
Soto Lenthok,Soto ayam dengan perkedel ketela,Makanan Berat,Soto Lenthok Pak Gareng Utama,15000,4.7,https://www.google.com/url?sa=i&url=https%3A%2F%2Fjogja.babad.id%2Fkuliner%2F103511118227%2Fnikmati-kuliner-legendaris-cuma-rp12-ribuan-ini-dia-racikan-soto-lenthok-pak-gareng-sudah-melegenda-sejak-1995&psig=AOvVaw1o28z5_i_ybxrwv-a7DWrp&ust=1728472099118000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCPj3-r3S_ogDFQAAAAAdAAAAABAE
Belalang Goreng,Belalang digoreng kering,Camilan Ekstrem,Pasar Godean Utama,35000,4.2,https://asset-2.tstatic.net/poskupangtravel/foto/bank/images/belalang-goreng.jpg
Krecek,Kulit sapi dimasak dengan sambal,Pendamping Gudeg,Pasar Beringharjo Lestari,15000,4.9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.kompas.com%2Ffood%2Fread%2F2022%2F12%2F15%2F200500075%2Fresep-sambal-goreng-krecek-untuk-lauk-pelengkap-gudeg&psig=AOvVaw0mPtp2PSlxuR1eogWrvFYz&ust=1728472227920000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCMDyuvrS_ogDFQAAAAAdAAAAABAE
Brongkos,Daging sapi dimasak dengan santan kental,Makanan Berat,Warung Brongkos Handayani Utama,20000,4.7,https://www.google.com/url?sa=i&url=https%3A%2F%2Finspirasi.avonturin.id%2Fbrongkos-handayani-di-alun-alun-kidul-yogyakarta%2F&psig=AOvVaw2YE7vhyL7OeU07yd1OFnxm&ust=1728472254716000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCNC744nT_ogDFQAAAAAdAAAAABAE
Kipo,Kue kenyal manis khas Kotagede,Jajanan Tradisional,Toko Kue Kipo Bu Amanah Makmur,67000,4.9,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.kompas.com%2Ffood%2Fread%2F2021%2F11%2F12%2F091100975%2Fresep-kipo-kue-tradisional-khas-kotagede-yogyakarta&psig=AOvVaw2kH4dC--c6E0bhmn1s3B5U&ust=1728472282267000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIim1JPT_ogDFQAAAAAdAAAAABAK
